productname,currentprice,offer_price,processor,Ram,storage,size,warranty,,,,,,,,,,
Lenov,59390,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,84173,60990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
acer ,95999,63990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Infin,49999,30990,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,76890,58490,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP Pa,73688,62499,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
HP Ry,59778,46990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,176990,124990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,50990,35990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,136990,105990,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,69990,49990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP En,99147,86990,Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,512 GB SSD,34.04 cm (13.4 Inch) Touchscreen Display,1year,,,,,,,,,,
HP Pa,102473,89990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,85990,68990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, TUV Rheinland-certified,Light Laptop without Optical Disk Drive,Backlit chiclet keyboard, Finger Print Sensor for Faster System Access,1year
Lenov,84603,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP 14,49509,41990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,82990,63990,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,64990,45990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,71990,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
APPLE,149990,139990,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,34.54 cm (13.6 Inch) Display,1year,,,,,,,,,,
HP En,121630,104990,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X RAM,512 GB SSD,33.78 cm (13.3 Inch) Touchscreen Display,1year,,,,,,,,,,
HP OM,140292,88499,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,40.89 cm (16.1 Inch) Display,1year,,,,,,,,,,
Lenov,59390,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,88990,65990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
acer ,89999,56990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,86990,61990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,76890,58490,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
MSI C,135391,119990,Intel Core i9 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,113290,80990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,62990,45990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,82990,59990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,84990,65990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,89694,66190,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,40.64 cm (16 inch) Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
